date_range_start,county,type,month_count
2019-01,01001,supermarket,4312
2019-01,01003,supermarket,10360
2019-01,01005,supermarket,824
2019-01,01007,supermarket,585
2019-01,01009,supermarket,3790
2019-01,01011,supermarket,239
2019-01,01013,supermarket,485
2019-01,01015,supermarket,4824
2019-01,01017,supermarket,1661
2019-01,01019,supermarket,1099
2019-01,01021,supermarket,2208
2019-01,01023,supermarket,736
2019-01,01025,supermarket,709
2019-01,01027,supermarket,527
2019-01,01029,supermarket,1001
2019-01,01031,supermarket,2354
2019-01,01033,supermarket,2852
2019-01,01035,supermarket,289
2019-01,01037,supermarket,327
2019-01,01039,supermarket,2013
2019-01,01041,supermarket,756
2019-01,01043,supermarket,5670
2019-01,01045,supermarket,1543
2019-01,01047,supermarket,932
2019-01,01049,supermarket,2494
2019-01,01051,supermarket,4552
2019-01,01053,supermarket,903
2019-01,01055,supermarket,5010
2019-01,01057,supermarket,804
2019-01,01059,supermarket,1138
2019-01,01061,supermarket,2044
2019-01,01063,supermarket,445
2019-01,01065,supermarket,615
2019-01,01067,supermarket,1053
2019-01,01069,supermarket,4594
2019-01,01071,supermarket,1223
2019-01,01073,supermarket,35206
2019-01,01075,supermarket,1295
2019-01,01077,supermarket,4402
2019-01,01079,supermarket,912
2019-01,01081,supermarket,7830
2019-01,01083,supermarket,4022
2019-01,01085,supermarket,306
2019-01,01087,supermarket,470
2019-01,01089,supermarket,16682
2019-01,01091,supermarket,810
2019-01,01093,supermarket,557
2019-01,01095,supermarket,5016
2019-01,01097,supermarket,18017
2019-01,01099,supermarket,395
2019-01,01101,supermarket,8109
2019-01,01103,supermarket,5461
2019-01,01105,supermarket,249
2019-01,01107,supermarket,781
2019-01,01109,supermarket,923
2019-01,01111,supermarket,819
2019-01,01113,supermarket,1803
2019-01,01115,supermarket,3940
2019-01,01117,supermarket,15173
2019-01,01119,supermarket,688
2019-01,01121,supermarket,2678
2019-01,01123,supermarket,2048
2019-01,01125,supermarket,12729
2019-01,01127,supermarket,3694
2019-01,01129,supermarket,702
2019-01,01131,supermarket,254
2019-01,01133,supermarket,816
2019-01,02013,supermarket,4
2019-01,02016,supermarket,52
2019-01,02020,supermarket,6315
2019-01,02050,supermarket,184
2019-01,02060,supermarket,6
2019-01,02068,supermarket,20
2019-01,02070,supermarket,49
2019-01,02090,supermarket,1633
2019-01,02100,supermarket,26
2019-01,02105,supermarket,26
2019-01,02110,supermarket,964
2019-01,02122,supermarket,1704
2019-01,02130,supermarket,69
2019-01,02150,supermarket,143
2019-01,02158,supermarket,37
2019-01,02164,supermarket,13
2019-01,02170,supermarket,3232
2019-01,02180,supermarket,154
2019-01,02185,supermarket,114
2019-01,02188,supermarket,63
2019-01,02195,supermarket,72
2019-01,02198,supermarket,61
2019-01,02220,supermarket,161
2019-01,02230,supermarket,4
2019-01,02240,supermarket,72
2019-01,02261,supermarket,185
2019-01,02275,supermarket,8
2019-01,02282,supermarket,14
2019-01,02290,supermarket,5
2019-01,04001,supermarket,731
2019-01,04003,supermarket,2941
2019-01,04005,supermarket,3202
2019-01,04007,supermarket,1162
2019-01,04009,supermarket,624
2019-01,04011,supermarket,93
2019-01,04012,supermarket,1124
2019-01,04013,supermarket,166967
2019-01,04015,supermarket,6138
2019-01,04017,supermarket,1173
2019-01,04019,supermarket,33489
2019-01,04021,supermarket,17675
2019-01,04023,supermarket,2263
2019-01,04025,supermarket,7146
2019-01,04027,supermarket,6587
2019-01,05001,supermarket,975
2019-01,05003,supermarket,484
2019-01,05005,supermarket,814
2019-01,05007,supermarket,8678
2019-01,05009,supermarket,1491
2019-01,05011,supermarket,173
2019-01,05013,supermarket,77
2019-01,05015,supermarket,691
2019-01,05017,supermarket,260
2019-01,05019,supermarket,443
2019-01,05021,supermarket,543
2019-01,05023,supermarket,654
2019-01,05025,supermarket,332
2019-01,05027,supermarket,853
2019-01,05029,supermarket,873
2019-01,05031,supermarket,4369
2019-01,05033,supermarket,2001
2019-01,05035,supermarket,1379
2019-01,05037,supermarket,615
2019-01,05039,supermarket,134
2019-01,05041,supermarket,467
2019-01,05043,supermarket,425
2019-01,05045,supermarket,6080
2019-01,05047,supermarket,441
2019-01,05049,supermarket,211
2019-01,05051,supermarket,2570
2019-01,05053,supermarket,1012
2019-01,05055,supermarket,1275
2019-01,05057,supermarket,787
2019-01,05059,supermarket,853
2019-01,05061,supermarket,314
2019-01,05063,supermarket,2093
2019-01,05065,supermarket,196
2019-01,05067,supermarket,315
2019-01,05069,supermarket,3291
2019-01,05071,supermarket,364
2019-01,05073,supermarket,187
2019-01,05075,supermarket,994
2019-01,05077,supermarket,107
2019-01,05079,supermarket,363
2019-01,05081,supermarket,247
2019-01,05083,supermarket,285
2019-01,05085,supermarket,3182
2019-01,05087,supermarket,349
2019-01,05089,supermarket,408
2019-01,05091,supermarket,1358
2019-01,05093,supermarket,1605
2019-01,05095,supermarket,206
2019-01,05097,supermarket,186
2019-01,05099,supermarket,286
2019-01,05101,supermarket,324
2019-01,05103,supermarket,403
2019-01,05105,supermarket,350
2019-01,05107,supermarket,161
2019-01,05109,supermarket,319
2019-01,05111,supermarket,653
2019-01,05113,supermarket,126
2019-01,05115,supermarket,1498
2019-01,05117,supermarket,204
2019-01,05119,supermarket,17275
2019-01,05121,supermarket,679
2019-01,05123,supermarket,423
2019-01,05125,supermarket,7259
2019-01,05127,supermarket,198
2019-01,05129,supermarket,197
2019-01,05131,supermarket,3953
2019-01,05133,supermarket,318
2019-01,05135,supermarket,432
2019-01,05137,supermarket,263
2019-01,05139,supermarket,1110
2019-01,05141,supermarket,228
2019-01,05143,supermarket,5434
2019-01,05145,supermarket,2990
2019-01,05147,supermarket,96
2019-01,05149,supermarket,279
2019-01,06001,supermarket,58809
2019-01,06003,supermarket,28
2019-01,06005,supermarket,1109
2019-01,06007,supermarket,7202
2019-01,06009,supermarket,1525
2019-01,06011,supermarket,503
2019-01,06013,supermarket,47329
2019-01,06015,supermarket,884
2019-01,06017,supermarket,8810
2019-01,06019,supermarket,40083
2019-01,06021,supermarket,694
2019-01,06023,supermarket,5822
2019-01,06025,supermarket,4281
2019-01,06027,supermarket,521
2019-01,06029,supermarket,36728
2019-01,06031,supermarket,5259
2019-01,06033,supermarket,2347
2019-01,06035,supermarket,980
2019-01,06037,supermarket,445815
2019-01,06039,supermarket,5948
2019-01,06041,supermarket,7493
2019-01,06043,supermarket,399
2019-01,06045,supermarket,2562
2019-01,06047,supermarket,9893
2019-01,06049,supermarket,337
2019-01,06051,supermarket,371
2019-01,06053,supermarket,13437
2019-01,06055,supermarket,3581
2019-01,06057,supermarket,3888
2019-01,06059,supermarket,122324
2019-01,06061,supermarket,14697
2019-01,06063,supermarket,691
2019-01,06065,supermarket,100946
2019-01,06067,supermarket,66312
2019-01,06069,supermarket,2784
2019-01,06071,supermarket,95457
2019-01,06073,supermarket,127726
2019-01,06075,supermarket,28760
2019-01,06077,supermarket,31191
2019-01,06079,supermarket,9682
2019-01,06081,supermarket,29509
2019-01,06083,supermarket,14889
2019-01,06085,supermarket,59397
2019-01,06087,supermarket,9887
2019-01,06089,supermarket,7476
2019-01,06091,supermarket,63
2019-01,06093,supermarket,1456
2019-01,06095,supermarket,16965
2019-01,06097,supermarket,13578
2019-01,06099,supermarket,25290
2019-01,06101,supermarket,4234
2019-01,06103,supermarket,2335
2019-01,06105,supermarket,458
2019-01,06107,supermarket,20733
2019-01,06109,supermarket,1676
2019-01,06111,supermarket,34539
2019-01,06113,supermarket,8494
2019-01,06115,supermarket,3082
2019-01,08001,supermarket,17606
2019-01,08003,supermarket,360
2019-01,08005,supermarket,24066
2019-01,08007,supermarket,311
2019-01,08009,supermarket,67
2019-01,08011,supermarket,80
2019-01,08013,supermarket,9549
2019-01,08014,supermarket,3527
2019-01,08015,supermarket,462
2019-01,08017,supermarket,42
2019-01,08019,supermarket,298
2019-01,08021,supermarket,247
2019-01,08023,supermarket,36
2019-01,08025,supermarket,93
2019-01,08027,supermarket,123
2019-01,08029,supermarket,598
2019-01,08031,supermarket,21569
2019-01,08033,supermarket,24
2019-01,08035,supermarket,14100
2019-01,08037,supermarket,2052
2019-01,08039,supermarket,868
2019-01,08041,supermarket,21656
2019-01,08043,supermarket,726
2019-01,08045,supermarket,1307
2019-01,08047,supermarket,125
2019-01,08049,supermarket,756
2019-01,08051,supermarket,409
2019-01,08053,supermarket,22
2019-01,08055,supermarket,218
2019-01,08057,supermarket,28
2019-01,08059,supermarket,18875
2019-01,08061,supermarket,16
2019-01,08063,supermarket,193
2019-01,08065,supermarket,254
2019-01,08067,supermarket,1047
2019-01,08069,supermarket,9679
2019-01,08071,supermarket,223
2019-01,08073,supermarket,130
2019-01,08075,supermarket,190
2019-01,08077,supermarket,3090
2019-01,08081,supermarket,237
2019-01,08083,supermarket,288
2019-01,08085,supermarket,834
2019-01,08087,supermarket,728
2019-01,08089,supermarket,309
2019-01,08091,supermarket,89
2019-01,08093,supermarket,555
2019-01,08095,supermarket,132
2019-01,08097,supermarket,557
2019-01,08099,supermarket,141
2019-01,08101,supermarket,3275
2019-01,08103,supermarket,147
2019-01,08105,supermarket,280
2019-01,08107,supermarket,1048
2019-01,08109,supermarket,122
2019-01,08113,supermarket,286
2019-01,08115,supermarket,114
2019-01,08117,supermarket,1003
2019-01,08119,supermarket,575
2019-01,08121,supermarket,72
2019-01,08123,supermarket,12269
2019-01,08125,supermarket,99
2019-01,09001,supermarket,41256
2019-01,09003,supermarket,39916
2019-01,09005,supermarket,7388
2019-01,09007,supermarket,7631
2019-01,09009,supermarket,35417
2019-01,09011,supermarket,8363
2019-01,09013,supermarket,4613
2019-01,09015,supermarket,3338
2019-01,10001,supermarket,5699
2019-01,10003,supermarket,21486
2019-01,10005,supermarket,7146
2019-01,11001,supermarket,39690
2019-01,12001,supermarket,17005
2019-01,12003,supermarket,1651
2019-01,12005,supermarket,7939
2019-01,12007,supermarket,1258
2019-01,12009,supermarket,28612
2019-01,12011,supermarket,118150
2019-01,12013,supermarket,393
2019-01,12015,supermarket,7458
2019-01,12017,supermarket,5886
2019-01,12019,supermarket,12019
2019-01,12021,supermarket,20674
2019-01,12023,supermarket,3578
2019-01,12027,supermarket,1263
2019-01,12029,supermarket,432
2019-01,12031,supermarket,55169
2019-01,12033,supermarket,13572
2019-01,12035,supermarket,4067
2019-01,12037,supermarket,602
2019-01,12039,supermarket,1486
2019-01,12041,supermarket,1105
2019-01,12043,supermarket,692
2019-01,12045,supermarket,432
2019-01,12047,supermarket,478
2019-01,12049,supermarket,1316
2019-01,12051,supermarket,2316
2019-01,12053,supermarket,8779
2019-01,12055,supermarket,4635
2019-01,12057,supermarket,75779
2019-01,12059,supermarket,571
2019-01,12061,supermarket,8247
2019-01,12063,supermarket,1579
2019-01,12065,supermarket,694
2019-01,12067,supermarket,320
2019-01,12069,supermarket,20894
2019-01,12071,supermarket,36260
2019-01,12073,supermarket,13518
2019-01,12075,supermarket,1893
2019-01,12077,supermarket,280
2019-01,12079,supermarket,660
2019-01,12081,supermarket,19200
2019-01,12083,supermarket,18664
2019-01,12085,supermarket,9509
2019-01,12086,supermarket,195239
2019-01,12087,supermarket,6686
2019-01,12089,supermarket,6276
2019-01,12091,supermarket,10433
2019-01,12093,supermarket,1934
2019-01,12095,supermarket,75050
2019-01,12097,supermarket,25154
2019-01,12099,supermarket,79772
2019-01,12101,supermarket,34483
2019-01,12103,supermarket,43073
2019-01,12105,supermarket,37112
2019-01,12107,supermarket,3947
2019-01,12109,supermarket,17203
2019-01,12111,supermarket,16829
2019-01,12113,supermarket,7698
2019-01,12115,supermarket,21127
2019-01,12117,supermarket,22539
2019-01,12119,supermarket,6852
2019-01,12121,supermarket,1964
2019-01,12123,supermarket,677
2019-01,12125,supermarket,784
2019-01,12127,supermarket,24615
2019-01,12129,supermarket,1261
2019-01,12131,supermarket,5291
2019-01,12133,supermarket,662
2019-01,13001,supermarket,483
2019-01,13003,supermarket,219
2019-01,13005,supermarket,763
2019-01,13007,supermarket,74
2019-01,13009,supermarket,2252
2019-01,13011,supermarket,787
2019-01,13013,supermarket,3829
2019-01,13015,supermarket,8282
2019-01,13017,supermarket,575
2019-01,13019,supermarket,903
2019-01,13021,supermarket,6582
2019-01,13023,supermarket,383
2019-01,13025,supermarket,487
2019-01,13027,supermarket,648
2019-01,13029,supermarket,2734
2019-01,13031,supermarket,2218
2019-01,13033,supermarket,1043
2019-01,13035,supermarket,1408
2019-01,13037,supermarket,259
2019-01,13039,supermarket,1265
2019-01,13043,supermarket,591
2019-01,13045,supermarket,7132
2019-01,13047,supermarket,4022
2019-01,13049,supermarket,424
2019-01,13051,supermarket,11903
2019-01,13053,supermarket,110
2019-01,13055,supermarket,900
2019-01,13057,supermarket,17286
2019-01,13059,supermarket,4926
2019-01,13061,supermarket,137
2019-01,13063,supermarket,14040
2019-01,13065,supermarket,239
2019-01,13067,supermarket,41675
2019-01,13069,supermarket,2001
2019-01,13071,supermarket,1581
2019-01,13073,supermarket,6954
2019-01,13075,supermarket,668
2019-01,13077,supermarket,9645
2019-01,13079,supermarket,517
2019-01,13081,supermarket,867
2019-01,13083,supermarket,686
2019-01,13085,supermarket,1913
2019-01,13087,supermarket,781
2019-01,13089,supermarket,31284
2019-01,13091,supermarket,561
2019-01,13093,supermarket,279
2019-01,13095,supermarket,2795
2019-01,13097,supermarket,8446
2019-01,13099,supermarket,349
2019-01,13101,supermarket,208
2019-01,13103,supermarket,3253
2019-01,13105,supermarket,1064
2019-01,13107,supermarket,673
2019-01,13109,supermarket,241
2019-01,13111,supermarket,929
2019-01,13113,supermarket,6725
2019-01,13115,supermarket,5140
2019-01,13117,supermarket,16676
2019-01,13119,supermarket,908
2019-01,13121,supermarket,47091
2019-01,13123,supermarket,1734
2019-01,13125,supermarket,217
2019-01,13127,supermarket,3873
2019-01,13129,supermarket,2778
2019-01,13131,supermarket,971
2019-01,13133,supermarket,652
2019-01,13135,supermarket,42072
2019-01,13137,supermarket,2227
2019-01,13139,supermarket,10459
2019-01,13141,supermarket,193
2019-01,13143,supermarket,1824
2019-01,13145,supermarket,1744
2019-01,13147,supermarket,1064
2019-01,13149,supermarket,603
2019-01,13151,supermarket,11342
2019-01,13153,supermarket,9294
2019-01,13155,supermarket,374
2019-01,13157,supermarket,4325
2019-01,13159,supermarket,964
2019-01,13161,supermarket,426
2019-01,13163,supermarket,917
2019-01,13165,supermarket,269
2019-01,13167,supermarket,311
2019-01,13169,supermarket,1434
2019-01,13171,supermarket,701
2019-01,13173,supermarket,602
2019-01,13175,supermarket,3005
2019-01,13177,supermarket,2065
2019-01,13179,supermarket,3590
2019-01,13181,supermarket,228
2019-01,13183,supermarket,606
2019-01,13185,supermarket,4558
2019-01,13187,supermarket,1649
2019-01,13189,supermarket,1130
2019-01,13191,supermarket,549
2019-01,13193,supermarket,358
2019-01,13195,supermarket,2011
2019-01,13197,supermarket,235
2019-01,13199,supermarket,856
2019-01,13201,supermarket,315
2019-01,13205,supermarket,819
2019-01,13207,supermarket,1656
2019-01,13209,supermarket,214
2019-01,13211,supermarket,1215
2019-01,13213,supermarket,1602
2019-01,13215,supermarket,5648
2019-01,13217,supermarket,4704
2019-01,13219,supermarket,2261
